Accident_Index,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Road_Type,Speed_limit,Junction_Detail,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
201160M045588,60,2,1,1,3,721,6,30,3,1,1,1,0,0,1,1
200701XH30651,1,2,3,1,5,26,6,30,3,4,1,1,0,0,1,1
200563CP04805,63,2,2,3,7,752,6,30,3,4,5,2,0,0,2,1
201306A077030,6,2,2,4,6,102,6,20,6,4,2,2,0,0,1,1
200506A025373,6,2,1,1,1,102,6,30,3,1,1,1,0,0,1,1
201401MM70725,1,2,1,1,3,8,3,30,0,1,1,1,0,0,1,1
200901TA00032,1,2,1,1,3,31,6,30,6,1,1,1,0,0,1,1
2010521006320,52,2,3,1,7,605,3,70,0,1,1,1,0,0,2,1
200701WW50360,1,2,2,1,4,10,6,30,6,1,1,1,0,0,1,1
2010521003085,52,2,1,3,2,601,6,30,0,4,1,1,0,0,1,1
200630A000639,30,2,1,1,6,324,6,40,0,1,1,1,0,0,2,1
2005160B05280,16,2,2,2,4,232,6,60,0,1,1,2,7,0,1,1
201437EA86639,37,2,1,2,4,413,6,30,0,6,1,2,0,0,2,1
201306F075775,6,2,1,1,3,107,6,30,3,1,1,1,0,0,1,1
20102100X0015,21,2,1,1,6,257,6,30,0,1,1,4,0,0,1,1
201322D302473,22,2,3,3,4,270,9,70,0,1,1,1,0,0,2,2
200942I294509,42,2,1,1,6,454,6,30,0,4,1,1,0,0,2,2
20083104D3070,31,2,2,1,3,342,6,60,0,1,1,2,0,0,2,1
200597EC03005,97,2,1,1,3,926,6,30,0,1,9,1,0,0,1,2
2011130065617,13,2,2,1,2,206,6,30,0,1,1,1,0,0,1,1
200530C000484,30,2,2,1,3,321,6,30,0,1,1,1,0,0,1,1
2010950004882,95,2,2,4,7,929,6,60,0,1,1,1,0,0,2,1
201230D001160,30,2,1,1,3,323,1,40,1,1,1,1,0,0,1,1
201301CW10600,1,2,1,1,5,1,6,30,3,4,1,1,0,0,1,1
2005470506622,47,2,1,1,2,562,6,30,8,1,1,1,0,0,1,1
201443S105034,43,2,1,1,5,479,6,60,1,1,7,2,0,0,2,1
200932D306009,32,2,3,3,4,353,6,60,0,1,2,2,0,0,2,1
2008460053313,46,2,1,4,7,544,6,40,0,4,1,2,0,0,2,1
2009100441609,10,2,1,1,4,150,3,70,0,1,1,1,0,0,2,1
2007160C06770,16,2,1,2,5,231,6,60,0,6,1,1,0,7,2,1
200705CC17552,5,2,1,1,5,90,6,30,8,1,1,1,0,0,1,1
200501TX20684,1,2,5,4,7,25,6,30,6,4,1,1,0,0,1,1
2014331401365,33,2,2,1,2,363,6,30,3,1,1,1,0,0,2,1
2011130399043,13,2,3,2,3,202,6,30,6,1,1,1,0,0,2,1
201201PY20155,1,2,1,2,7,19,6,30,8,4,2,2,0,0,1,1
200622CA55919,22,2,1,1,3,276,6,30,0,4,1,1,0,0,2,1
2010210007319,21,2,1,1,3,251,6,30,0,1,1,1,0,0,1,1
200601ZD30967,1,2,2,1,6,20,6,30,3,1,1,2,0,0,1,1
201401EK40292,1,2,2,1,4,2,6,30,0,1,1,1,0,0,1,1
2010440406342,44,2,1,1,5,500,6,30,6,4,1,1,0,0,1,1
2014074373738,7,2,1,1,5,129,6,60,0,1,9,2,0,0,2,2
200843R056128,43,2,2,2,7,473,1,40,1,4,1,2,0,0,1,1
201132C107911,32,2,2,5,7,351,6,60,6,1,1,1,0,0,2,1
2009520908541,52,2,1,2,5,610,6,60,0,1,1,1,0,0,2,1
201201WW51062,1,2,2,1,7,10,6,30,3,1,2,2,0,0,1,1
2007620166938,62,2,1,1,2,745,6,30,9,1,1,1,0,0,1,1
2009330906099,33,2,2,1,7,363,6,30,3,1,1,1,0,0,1,1
2011471107316,47,2,2,3,7,559,6,30,0,4,1,1,0,0,1,1
2009520910376,52,2,2,1,2,612,6,30,9,5,5,2,0,0,1,2
200805CC27544,5,2,1,1,7,90,2,30,3,4,2,2,0,0,1,1
200942I159305,42,2,2,1,2,451,6,30,9,1,1,1,0,0,1,1
2007160B03950,16,2,1,2,5,232,7,60,0,6,1,1,0,0,2,1
2014440113532,44,2,2,1,3,502,6,30,0,1,1,1,0,0,1,1
20141316D0406,13,2,2,1,6,203,6,30,3,1,1,1,0,0,1,1
2006600DE2185,60,2,2,3,7,723,6,30,3,4,1,1,0,0,1,1
2005230595428,23,2,1,1,5,292,6,60,0,1,1,1,0,0,2,1
200505ET00058,5,2,2,1,7,91,6,30,3,1,4,1,0,0,1,1
2005460010464,46,2,3,2,3,544,3,40,0,4,1,1,0,0,1,1
20084100C1035,41,2,1,1,4,437,6,30,0,1,8,1,0,0,1,1
201132L360711,32,2,2,1,6,352,6,30,0,4,1,1,0,0,1,1
200540D016590,40,2,2,1,5,423,6,60,0,1,1,1,0,0,2,1
2008470800209,47,2,2,1,1,556,6,30,3,4,1,2,0,0,1,1
2006920601254,92,2,1,1,6,910,6,30,0,1,1,1,0,0,1,1
201442I129204,42,2,2,2,1,460,3,30,6,4,1,2,0,0,1,1
200904AL09085,4,2,1,3,1,74,6,30,9,1,1,1,0,0,2,1
201042I256208,42,2,3,2,2,457,3,70,0,1,1,1,0,0,2,1
2008520802789,52,2,2,2,2,607,6,50,0,6,4,2,0,0,2,1
201201TA00153,1,2,1,1,2,1,6,30,6,1,1,2,0,0,1,1
200801LX50957,1,2,2,1,1,9,6,30,3,1,1,2,0,0,1,1
200843W138058,43,2,2,1,3,472,6,30,0,1,1,1,0,0,1,2
2008360045066,36,2,1,1,7,407,6,60,0,1,1,4,0,0,2,1
201001TC00015,1,2,1,1,4,15,6,30,3,1,3,3,0,3,1,1
20124100C0775,41,2,3,1,6,437,6,30,8,1,1,1,0,0,1,1
200801FH72551,1,2,2,1,4,11,6,30,3,1,1,1,0,0,1,1
2012370011612,37,2,2,1,7,414,1,30,1,1,1,1,0,0,1,1
200804CC08133,4,2,1,2,3,73,6,60,0,1,8,4,0,0,2,1
2008440145227,44,2,1,1,7,494,3,70,0,1,1,1,0,0,2,1
200722DA85950,22,2,2,1,5,278,6,40,0,1,1,1,0,0,2,1
2013553C53126,55,2,1,1,5,640,6,30,3,4,1,2,0,0,1,1
200614H086706,14,2,1,1,6,215,3,30,6,1,1,1,0,0,1,1
2008440067652,44,2,1,1,6,499,6,60,0,1,1,1,0,0,2,1
201422G402266,22,2,1,1,3,284,6,30,3,4,1,1,0,0,1,2
200604AX06094,4,2,1,1,6,71,6,30,9,1,1,1,0,0,1,1
201320W021093,20,2,2,3,4,300,6,30,3,1,1,1,0,0,1,1
201404AL14104,4,2,1,1,1,74,6,50,0,1,1,1,0,0,2,1
200697KC04506,97,2,2,2,1,928,3,30,3,1,1,1,0,0,1,1
2014331400670,33,2,3,1,6,362,6,30,0,1,1,1,0,0,1,1
201150EC2E002,50,2,1,1,7,583,1,30,1,1,1,1,0,0,1,2
201322C301981,22,2,1,1,7,276,3,30,3,1,1,1,0,0,1,1
2008100221408,10,2,1,1,1,142,6,60,0,1,1,1,0,0,2,1
20144100F0753,41,2,1,1,2,434,1,30,2,4,1,2,0,0,1,1
2005470506486,47,2,3,2,3,560,6,60,0,1,1,1,0,0,2,1
200901VW40324,1,2,1,1,2,22,6,30,3,1,1,1,0,0,1,1
200601RG40521,1,2,2,2,6,6,6,30,6,1,1,1,0,0,1,1
201411NI19674,11,2,2,2,4,169,6,60,0,1,1,1,0,0,2,1
201201RG40144,1,2,2,1,7,6,1,30,2,4,2,2,0,0,1,1
2009460177891,46,2,1,1,7,543,6,60,3,1,1,1,5,0,2,1
200543W304015,43,2,1,1,2,470,1,30,8,1,1,1,0,0,1,1
2013120014712,12,2,2,1,1,189,6,30,3,1,1,2,0,0,1,1
200704BA07030,4,2,2,1,5,76,6,60,3,6,1,2,0,0,2,1
200901LX50779,1,2,1,1,5,9,6,30,6,1,1,1,4,0,1,1
200745MO03343,45,2,2,1,4,512,3,60,5,1,1,1,0,0,2,1
201420G011524,20,2,3,1,7,309,6,30,6,4,2,2,0,0,1,1
2005160A02040,16,2,1,1,4,233,3,60,0,1,2,2,0,0,1,1
2007520005344,52,2,2,1,5,611,6,60,0,1,9,1,0,0,2,1
2007960701670,96,2,2,1,3,924,6,30,9,1,1,1,0,0,1,1
200620D339002,20,2,1,1,5,300,6,30,0,1,5,2,0,0,1,1
2008130159608,13,2,2,5,1,204,6,30,3,1,1,2,0,0,1,1
201414C047314,14,2,2,1,5,213,6,40,6,1,2,2,0,0,2,1
2005950009658,95,2,2,1,3,923,3,70,0,6,1,1,0,0,2,1
201101TB01700,1,2,2,1,2,8,6,30,3,4,1,1,0,0,1,1
2006330603620,33,2,2,4,7,362,6,60,0,1,1,2,0,0,2,1
2009620188219,62,2,1,1,3,741,9,30,0,1,1,2,0,0,1,1
2013353041113,35,2,4,1,6,395,3,50,8,1,2,2,0,0,2,1
2006360038090,36,2,2,1,1,404,1,40,1,1,1,1,0,0,1,1
2011460197232,46,2,1,1,2,530,6,60,0,1,1,1,0,0,2,1
201342I163606,42,2,3,3,7,454,6,40,0,1,2,2,0,0,2,1
200630C000045,30,2,1,2,7,327,6,30,3,4,1,2,0,0,1,1
2009460173414,46,2,2,1,7,543,6,30,0,1,9,1,0,0,2,2
200501YE80472,1,2,2,1,5,32,6,30,6,1,1,1,0,0,1,1
200932B246009,32,2,1,1,6,355,6,30,0,1,2,2,0,0,1,1
2014360079791,36,2,2,1,6,406,6,60,8,1,1,1,0,0,2,1
201197AB00904,97,2,1,2,3,926,2,30,0,1,2,2,0,0,1,1
2014471400261,47,2,2,2,4,565,3,70,0,6,1,2,0,0,2,1
2006100933206,10,2,1,1,7,146,6,30,0,4,1,2,0,0,1,1
2010360058675,36,2,1,1,2,404,6,20,0,1,1,1,0,0,1,1
200534NW00967,34,2,4,3,6,386,6,60,0,1,1,1,0,0,2,1
200901QK50377,1,2,2,1,2,28,6,30,3,1,1,1,0,0,1,1
2014130013191,13,2,2,2,6,200,3,30,6,4,2,2,0,0,1,1
2008360045834,36,2,2,1,2,402,6,30,8,1,1,1,0,0,2,1
2010130530767,13,2,1,1,2,200,6,30,3,4,1,2,0,0,1,1
201442I079403,42,2,1,1,2,452,6,30,0,1,1,1,0,0,1,1
201397AB02301,97,2,1,1,5,926,6,30,6,4,1,1,0,0,1,1
200997LB71805,97,2,1,1,7,913,6,60,0,1,1,1,0,0,2,1
2010160C03501,16,2,1,1,2,231,6,30,0,1,1,1,0,0,1,1
20103104D2116,31,2,2,1,2,343,6,50,0,1,1,1,0,0,2,1
201405DD03655,5,2,1,1,3,92,6,30,3,1,1,1,0,0,1,1
2009620188777,62,2,2,1,1,741,6,30,6,1,1,1,0,0,1,1
20063102P1117,31,2,1,1,1,340,3,70,0,4,1,1,0,0,2,1
200601FH10356,1,2,1,1,5,11,3,30,0,1,1,1,0,0,1,1
2006960600537,96,2,1,3,5,939,6,60,0,1,1,2,0,0,2,1
201334WN09383,34,2,1,1,5,384,6,30,0,1,1,1,0,0,1,1
200920D279101,20,2,3,3,6,300,3,40,1,4,2,2,0,0,1,1
2006470606944,47,2,2,4,3,558,6,60,0,6,1,1,0,0,2,1
2011350583511,35,2,2,1,4,394,1,40,1,1,1,1,0,0,1,1
201201TA00882,1,2,2,1,3,24,6,30,3,4,1,1,0,0,1,1
2011471100010,47,2,1,3,7,557,6,30,0,4,1,1,0,0,1,1
2012471201035,47,2,1,1,7,564,6,40,3,4,1,1,0,0,1,1
2010170S31760,17,2,1,1,7,245,6,30,0,4,1,1,0,0,1,1
201204FJ12021,4,2,2,1,1,82,6,30,3,4,1,2,0,0,1,1
200904EA09324,4,2,2,2,5,70,6,30,3,1,5,2,0,0,1,1
2011160C05901,16,2,2,1,5,231,3,70,0,4,1,1,0,0,2,1
200904DL09051,4,2,1,1,5,79,6,60,3,1,1,1,0,0,2,1
2009130147409,13,2,1,1,3,204,6,50,0,6,1,1,0,0,2,1
2008470807395,47,2,3,1,7,554,3,70,0,1,1,1,0,0,2,1
2013471301378,47,2,1,1,3,559,6,60,0,1,3,4,0,0,2,2
200720G059402,20,2,3,1,2,309,3,30,1,1,1,1,0,0,1,1
2010440087079,44,2,1,1,3,500,6,30,0,1,1,1,0,0,1,2
201063BC11410,63,2,2,1,2,750,6,60,0,1,1,2,0,0,2,2
200806P097713,6,2,1,1,2,106,6,30,3,4,1,1,0,0,1,1
201442I052202,42,2,1,1,7,458,6,30,0,4,5,2,0,0,2,1
200601TB00018,1,2,2,2,3,26,6,30,0,1,1,1,0,0,2,1
201105BB05333,5,2,2,1,7,93,6,30,3,1,2,2,0,0,1,1
201414A162914,14,2,2,1,4,211,3,70,0,1,1,1,0,0,1,1
2009460167339,46,2,1,4,4,536,6,30,0,1,1,4,0,0,2,1
2006070603410,7,2,3,2,5,126,6,60,0,1,2,2,0,0,2,1
200501PL60597,1,2,2,1,5,7,6,30,3,4,1,1,0,0,1,1
2012100436712,10,2,1,1,1,139,6,40,0,4,1,1,0,2,2,1
2014621401234,62,2,2,1,6,743,6,30,0,1,2,2,0,0,1,1
201054EZ44310,54,2,1,1,1,635,6,30,3,4,1,2,0,0,1,1
2006160C04150,16,2,2,4,5,231,6,60,0,1,1,1,0,0,2,1
200601SX20139,1,2,2,1,6,30,3,30,6,1,1,1,0,0,1,1
2014030002931,3,2,2,1,6,62,3,60,9,1,9,1,0,0,1,2
200805DD28854,5,2,2,1,6,92,6,30,3,1,1,2,0,0,1,1
2011350876911,35,2,1,1,1,395,6,60,0,1,1,1,5,0,2,1
201143N112101,43,2,1,1,2,477,6,30,8,1,1,1,0,0,1,1
2005130694205,13,2,1,3,5,203,6,30,3,1,2,2,0,0,1,1
201360P099510,60,2,2,4,2,722,6,30,0,1,1,1,0,0,2,1
2013521303991,52,2,2,1,3,605,6,60,8,1,1,1,0,0,2,1
200701PY20100,1,2,2,1,2,19,6,30,3,4,1,1,0,0,1,1
2009920904178,92,2,1,1,6,911,6,60,0,1,1,1,0,0,2,1
200801CW10023,1,2,2,1,7,1,6,30,8,1,1,1,0,0,1,1
2007557W05991,55,2,4,1,3,645,6,60,3,6,1,1,0,7,2,1
200954EH08409,54,2,2,2,2,630,6,60,0,6,1,1,0,0,2,1
200834NW59368,34,2,1,5,6,386,6,40,0,4,2,4,0,0,2,1
2008558C01496,55,2,2,1,6,643,6,30,3,1,1,1,0,0,1,1
2009330907460,33,2,2,1,5,362,3,70,0,1,2,2,0,0,2,1
20083102D2905,31,2,2,1,7,342,6,30,6,4,2,2,0,0,1,1
200720L068701,20,2,1,1,6,306,1,40,1,4,1,1,0,0,1,1
201250BU2J003,50,2,1,1,7,596,6,60,0,6,1,1,0,0,2,1
201201TB00366,1,2,2,1,6,9,6,30,3,1,2,2,0,0,1,1
201142I253708,42,2,2,2,6,451,6,50,0,6,1,1,0,0,2,1
2011471107000,47,2,2,1,6,564,3,30,3,4,1,1,0,0,1,1
200720M061201,20,2,2,1,2,302,6,30,3,4,1,1,0,0,1,1
200506C923188,6,2,1,1,4,102,6,30,0,4,2,2,0,0,1,1
2014545745514,54,2,2,1,4,635,6,60,0,1,1,1,0,0,2,1
2008558D05480,55,2,2,1,3,646,6,30,1,1,1,2,0,0,2,1
2005950006368,95,2,2,1,3,923,3,60,5,1,1,1,0,0,2,1
200706L075522,6,2,2,1,1,114,6,30,8,1,1,1,0,0,1,1
2008360048949,36,2,1,2,7,405,6,60,0,7,1,1,0,0,2,1
20144100B0736,41,2,2,2,3,438,6,60,3,6,2,2,0,0,2,1
2012440476108,44,2,2,4,7,502,6,60,6,6,1,2,3,0,2,1
200901MM70523,1,2,2,1,7,8,6,30,3,1,1,1,0,0,1,2
200597UC70101,97,2,1,2,1,919,6,60,0,1,6,3,0,0,2,1
200942I243908,42,2,2,1,1,452,6,30,9,1,1,1,0,0,1,1
2006520146161,52,2,2,1,6,601,6,30,3,4,1,2,0,0,1,1
201320T045283,20,2,1,1,4,300,6,30,3,1,2,2,0,0,1,2
2006130568706,13,2,1,2,5,200,6,30,0,4,1,1,0,0,1,1
2013610000213,61,2,1,1,5,733,3,30,0,1,8,2,0,0,2,1
200563CP30505,63,2,3,4,4,752,6,60,0,6,1,1,0,0,2,1
2006216315553,21,2,1,1,7,255,6,60,0,1,1,1,0,0,2,1
2014610027314,61,2,2,1,6,733,1,30,1,1,1,1,0,0,2,1
200501TA00254,1,2,1,1,4,1,6,30,9,1,1,1,0,0,1,1
2010130336418,13,2,1,1,4,200,6,30,0,1,1,1,0,0,1,1
200922D905580,22,2,2,2,4,278,6,60,0,1,1,1,0,0,2,1
200501TB00341,1,2,1,1,2,26,6,30,0,1,1,1,0,0,1,1
2011460203007,46,2,1,1,6,531,6,30,3,4,1,1,0,0,1,1
201042I239207,42,2,1,1,7,453,6,30,0,1,1,1,0,0,1,1
2009440021161,44,2,2,1,6,498,1,30,1,1,1,1,0,0,1,1
2014471403750,47,2,1,1,5,551,6,30,3,1,1,1,0,0,1,1
2006160C07570,16,2,1,1,1,231,6,30,0,4,1,2,0,0,1,1
200997LA01605,97,2,2,1,5,916,3,40,0,4,1,1,0,0,1,1
200850A61A160,50,2,1,1,3,595,6,60,0,1,4,2,0,0,2,1
200563DP19605,63,2,2,2,2,753,6,60,9,1,1,2,0,0,2,1
2014131731786,13,2,2,1,5,204,6,40,3,1,1,1,0,0,1,1
201250CB3C004,50,2,2,1,2,582,6,30,0,1,1,1,0,0,2,2
200597ND70109,97,2,1,1,1,932,6,30,0,4,1,1,0,0,1,1
200811NF15248,11,2,2,1,3,164,6,30,3,1,1,1,0,0,1,2
2007217027359,21,2,2,6,1,257,6,30,8,4,1,1,0,0,1,1
2013350063313,35,2,2,1,5,394,6,30,6,4,2,2,0,0,1,1
2014320044255,32,2,2,1,3,355,6,60,0,6,1,1,0,0,2,1
2010520004503,52,2,2,1,4,608,6,30,3,1,1,1,0,0,1,1
201001LX50451,1,2,1,1,3,9,6,30,3,1,1,1,0,0,1,1
2011460203326,46,2,2,3,5,540,6,30,3,4,1,1,0,0,1,1
200734NW05547,34,2,1,1,4,386,6,30,3,4,1,1,0,0,1,1
200545EL72914,45,2,2,4,2,510,6,30,6,4,2,2,0,0,1,1
200854ED41208,54,2,2,1,1,634,6,30,8,1,1,1,0,0,1,1
200632B008206,32,2,4,1,6,355,3,70,0,1,1,1,4,0,2,1
201020T017490,20,2,1,1,3,300,6,30,3,1,1,1,0,0,1,1
2007160B05420,16,2,2,2,3,232,6,40,0,6,1,4,0,0,2,1
201104DF11061,4,2,2,2,7,79,6,30,9,1,1,2,0,0,1,1
2013450008405,45,2,2,2,1,512,6,30,0,1,1,1,0,0,2,1
2014100567114,10,2,1,1,6,139,6,60,0,1,1,1,0,0,2,1
200606L054699,6,2,2,1,6,114,1,30,2,1,1,1,0,0,1,2
2006530188377,53,2,2,1,6,624,6,60,0,6,1,1,0,0,2,1
2005360031743,36,2,2,1,5,402,1,50,1,1,1,1,0,0,1,1
200501KF60242,1,2,2,1,4,17,6,30,3,4,1,1,0,0,1,1
200601PY20087,1,2,2,1,4,19,6,30,8,4,1,1,0,0,1,1
2009130608409,13,2,2,1,4,204,6,30,0,1,1,1,0,0,1,1
2012460210650,46,2,1,1,1,532,6,30,3,4,1,1,0,0,1,1
200505DH00440,5,2,2,1,6,92,1,30,1,1,1,1,0,0,2,1
2007160A02840,16,2,2,3,2,233,6,60,0,1,4,2,0,0,2,1
201331D231813,31,2,2,3,1,347,3,70,0,1,1,1,0,0,2,1
200642G045106,42,2,1,4,6,452,6,30,0,1,1,1,0,0,1,1
201304AL13075,4,2,1,1,1,74,6,30,0,1,1,1,0,0,1,1
20064100G0593,41,2,1,2,4,433,3,30,0,1,1,1,0,0,1,1
201111NI10991,11,2,2,2,3,169,6,30,3,1,1,1,0,0,1,2
200542C011102,42,2,4,1,6,454,6,40,0,4,1,2,0,0,1,1
201301PY20246,1,2,1,1,6,19,6,30,3,1,1,1,0,0,1,1
200806Q002693,6,2,1,1,6,104,6,30,0,4,1,1,0,0,1,1
2014051400566,5,2,1,1,7,91,2,30,3,4,1,1,0,0,1,1
201297AD01111,97,2,2,1,5,926,6,30,3,1,1,1,0,0,1,1
201222G203363,22,2,2,1,7,284,6,30,6,1,1,1,0,0,1,2
201101CW12276,1,2,1,1,2,2,6,30,6,1,1,1,0,6,1,2
2013621300420,62,2,1,1,4,740,6,30,3,4,1,2,0,0,1,1
200705EE16815,5,2,2,1,5,91,6,30,6,1,1,1,0,0,1,1
2007122590166,12,2,1,1,1,186,6,60,0,6,4,1,0,0,2,1
2006520143456,52,2,2,2,7,612,6,50,8,1,1,2,0,0,2,1
2014360079462,36,2,2,1,7,405,6,40,0,6,1,1,0,0,2,1
2011620212297,62,2,3,3,3,740,6,30,6,1,1,1,0,0,1,1
2009559D01926,55,2,2,2,7,645,6,60,0,1,1,1,0,0,2,1
201305AA03388,5,2,2,2,5,95,1,30,1,1,1,1,0,0,2,1
2014460241116,46,2,1,1,5,543,6,60,0,6,1,1,0,0,2,1
201143P291071,43,2,2,1,3,484,6,30,0,1,1,1,0,0,1,1
2010471008445,47,2,2,2,1,565,6,30,0,1,1,2,0,0,2,2
200797NA03502,97,2,1,1,4,932,6,30,0,1,1,1,0,0,1,1
2006920603082,92,2,2,1,3,911,3,70,3,1,1,1,0,0,2,1
201037B045753,37,2,1,1,3,414,6,60,0,1,1,1,0,0,2,1
200701SX63055,1,2,1,1,5,30,6,30,0,1,1,1,0,0,1,1
2007122370448,12,2,3,1,7,186,6,60,3,1,1,1,0,0,2,1
201301XD80114,1,2,2,1,4,27,6,30,0,4,1,2,0,0,1,1
200720K069501,20,2,1,1,7,305,6,30,3,1,1,2,0,0,1,1
201204FL12021,4,2,1,1,5,82,3,30,6,1,1,1,0,0,1,1
200997UA70509,97,2,1,1,6,931,6,60,0,1,1,1,0,0,2,1
2005600AN6018,60,2,1,1,3,720,6,40,6,1,1,1,0,0,2,1
2014235514814,23,2,1,1,6,292,3,70,0,1,2,2,0,0,2,1
200504AM05044,4,2,1,1,1,71,6,30,6,1,1,1,0,0,1,1
2007440354201,44,2,2,1,3,495,6,40,0,1,1,1,0,0,2,1
201104DA11114,4,2,1,1,2,79,6,30,9,1,1,1,0,0,1,1
2010130002623,13,2,2,1,5,204,1,70,1,1,1,1,0,0,2,1
201204TA12067,4,2,1,1,7,76,3,70,0,1,4,1,0,0,2,1
2009360050710,36,2,2,1,2,407,6,30,6,4,8,1,0,0,1,1
201463AC01814,63,2,2,1,5,751,1,40,1,1,1,1,0,0,2,1
2006160B01420,16,2,1,1,1,232,6,40,0,1,1,1,0,0,2,2
2011120113174,12,2,2,3,6,181,6,60,0,1,2,2,0,0,2,1
200701TA00108,1,2,1,1,3,3,6,30,3,1,1,1,0,0,1,1
200530D000822,30,2,2,1,4,328,6,40,8,4,2,2,0,0,2,1
201320M004673,20,2,2,1,7,302,6,30,0,1,1,1,0,0,1,1
2005470502026,47,2,3,2,4,555,6,60,0,1,1,1,0,0,2,1
20064100A0395,41,2,1,1,6,432,6,20,3,4,1,2,0,0,1,1
2013120184743,12,2,1,1,5,182,2,30,3,1,1,1,0,0,1,1
200543W111025,43,2,2,1,4,474,6,50,3,1,1,1,0,0,2,1
2005215339307,21,2,2,2,5,250,1,50,1,4,1,2,0,0,1,1
201301EO40383,1,2,1,1,7,3,6,30,3,4,1,1,0,0,1,1
200743S124047,43,2,3,2,5,479,6,30,3,1,1,1,0,0,1,1
200605EE10672,5,2,1,1,5,91,6,30,3,1,1,1,0,0,1,1
201201ZD30054,1,2,2,1,6,20,6,30,3,4,1,1,0,0,1,1
2014360086604,36,2,2,1,6,400,6,60,0,1,1,2,0,0,2,1
2011350859111,35,2,2,1,5,391,6,60,3,1,1,1,0,0,2,1
2005950005497,95,2,1,2,1,923,1,30,3,4,1,1,0,0,1,1
201231D037112,31,2,1,1,3,342,6,30,0,1,1,1,0,0,1,1
2006530188694,53,2,1,1,3,620,6,40,0,1,1,1,0,0,1,2
2013331300483,33,2,1,1,6,364,3,30,3,1,4,1,0,0,1,1
200734WS23727,34,2,1,1,7,385,1,70,1,4,1,1,0,0,2,1
201006L038875,6,2,2,1,7,114,6,30,0,1,1,1,0,0,1,1
200530D000157,30,2,1,1,7,323,6,30,3,4,8,1,0,0,1,1
201305BB04420,5,2,2,1,3,93,1,30,1,1,1,1,0,0,1,1
2005350485805,35,2,1,1,7,394,3,40,0,4,1,1,0,0,1,1
201230C002034,30,2,1,1,2,320,1,40,1,1,1,4,0,0,2,1
20144100D0467,41,2,2,1,5,431,1,30,1,1,1,1,0,0,1,1
20074100T2101,41,2,1,2,2,435,3,70,5,1,1,1,0,0,2,1
2008600818726,60,2,2,1,3,724,6,60,0,6,2,2,0,0,2,1
201211NI21262,11,2,2,1,1,169,6,60,0,1,1,1,0,0,2,1
2005460111737,46,2,1,1,7,540,6,30,0,1,1,1,0,0,1,1
200906C007865,6,2,1,1,6,102,3,40,3,1,1,1,0,0,1,1
200934WD45129,34,2,2,2,3,381,6,60,0,1,1,2,0,0,2,1
200822DE88239,22,2,1,1,7,270,6,30,0,4,1,2,0,0,1,1
201001RG40642,1,2,2,1,4,6,6,30,3,1,1,1,0,0,1,2
200805EE29628,5,2,1,1,7,91,3,30,0,4,2,2,0,0,1,1
2008470804956,47,2,2,1,2,564,6,30,6,1,1,1,0,0,1,1
2008608086536,60,2,1,1,6,724,6,30,7,1,1,1,0,0,1,1
200901HT20721,1,2,2,2,5,5,6,30,3,4,1,2,0,0,1,1
20094100J2004,41,2,2,1,3,33,6,30,6,1,1,2,0,0,1,1
201301PY20618,1,2,2,1,4,19,6,30,3,4,1,1,0,0,1,1
2008130102908,13,2,1,1,4,203,6,30,0,1,1,1,0,0,1,1
200611AB13260,11,2,1,4,7,168,6,60,0,6,2,2,0,0,2,1
201354A127213,54,2,1,1,4,635,6,30,3,4,1,2,0,0,2,1
200720F244402,20,2,2,1,3,300,6,30,3,1,1,1,0,0,1,2
200701PY64769,1,2,1,1,1,19,6,30,9,4,1,1,0,0,1,1
2010983127710,98,2,2,1,7,917,6,60,3,1,2,2,0,0,2,1
200905DD30835,5,2,3,2,5,92,3,60,0,1,2,2,0,0,1,1
200604CA06107,4,2,2,1,3,73,6,30,8,4,2,2,0,0,1,1
200742I354509,42,2,2,4,3,452,6,60,0,1,1,1,0,0,2,1
201150EK2B034,50,2,2,1,4,583,6,30,3,1,5,2,0,0,1,1
200822DE88529,22,2,1,2,7,270,3,70,0,1,1,1,0,0,2,1
2007130886207,13,2,1,1,6,202,6,30,0,1,1,1,0,0,1,1
2014471405217,47,2,1,1,4,563,6,60,0,6,1,1,0,0,2,1
2007600FL3064,60,2,2,1,5,724,6,60,3,1,1,1,0,0,2,1
201014K094710,14,2,2,1,3,215,6,30,3,1,1,1,0,0,2,2
201201TB00102,1,2,1,1,4,30,6,30,3,4,1,2,0,0,1,1
200701RG67164,1,2,1,1,4,6,6,30,9,1,1,1,0,0,1,1
2008950009906,95,2,1,1,6,923,6,30,0,4,1,1,0,0,1,1
2007557B04638,55,2,1,1,5,640,3,40,0,1,1,1,0,0,1,1
2014621401042,62,2,2,1,1,742,3,70,1,1,1,1,0,0,1,1
2014950005055,95,2,1,1,6,923,6,30,3,1,1,1,0,0,1,1
200904EL09072,4,2,1,1,7,75,6,30,0,4,1,2,0,0,1,1
20141314T0566,13,2,2,3,3,206,6,30,0,1,1,1,0,0,2,1
2006120620732,12,2,2,2,6,180,6,60,3,6,3,4,0,0,2,1
20053102C2250,31,2,2,1,7,346,6,30,0,4,1,1,0,0,1,1
